15:27:41.462 [main] INFO  Main - yellowis one of the most popular colors
15:27:41.463 [main] INFO  Main - whiteis one of the most popular colors
15:27:41.463 [main] INFO  Main - redis one of the most popular colors
15:27:41.463 [main] INFO  Main - greenis one of the most popular colors
15:27:41.463 [main] INFO  Main - brownis one of the most popular colors
15:27:41.464 [main] INFO  Main - blackis one of the most popular colors
15:28:10.682 [main] INFO  Main - yellow is one of the most popular colors
15:28:10.683 [main] INFO  Main - white is one of the most popular colors
15:28:10.684 [main] INFO  Main - red is one of the most popular colors
15:28:10.684 [main] INFO  Main - green is one of the most popular colors
15:28:10.684 [main] INFO  Main - brown is one of the most popular colors
15:28:10.684 [main] INFO  Main - black is one of the most popular colors
11:23:32.359 [main] INFO  Main - yellow is one of the most popular colors
11:23:32.361 [main] INFO  Main - white is one of the most popular colors
11:23:32.361 [main] INFO  Main - red is one of the most popular colors
11:23:32.361 [main] INFO  Main - green is one of the most popular colors
11:23:32.361 [main] INFO  Main - brown is one of the most popular colors
11:23:32.361 [main] INFO  Main - black is one of the most popular colors
11:24:38.330 [main] INFO  Main - yellow is one of the most popular colors
11:24:38.331 [main] INFO  Main - white is one of the most popular colors
11:24:38.331 [main] INFO  Main - red is one of the most popular colors
11:24:38.331 [main] INFO  Main - green is one of the most popular colors
11:24:38.331 [main] INFO  Main - brown is one of the most popular colors
11:24:38.331 [main] INFO  Main - black is one of the most popular colors
11:24:44.477 [main] INFO  Main - yellow is one of the most popular colors
11:24:44.478 [main] INFO  Main - white is one of the most popular colors
11:24:44.478 [main] INFO  Main - red is one of the most popular colors
11:24:44.478 [main] INFO  Main - green is one of the most popular colors
11:24:44.478 [main] INFO  Main - brown is one of the most popular colors
11:24:44.478 [main] INFO  Main - black is one of the most popular colors
